frame,class_id,confidence,x,y,w,h
1210,0,0.68,0,405,41,74
1211,0,0.75,0,402,48,77
1212,0,0.80,0,399,54,79
1213,0,0.87,0,397,60,82
1214,0,0.87,0,395,68,84
1215,0,0.88,9,387,70,92
1216,0,0.87,13,382,71,97
1217,0,0.86,17,380,71,99
1218,0,0.91,21,376,74,103
1219,0,0.91,32,372,78,107
1220,0,0.90,36,370,78,109
1221,0,0.89,41,368,77,110
1222,0,0.91,47,367,75,112
1223,0,0.88,53,364,76,115
1224,0,0.90,57,361,76,118
1225,0,0.89,63,359,73,120
1226,0,0.90,68,356,71,123
1227,0,0.88,80,350,62,129
1228,0,0.84,84,349,58,130
1229,0,0.84,88,346,60,133
1230,0,0.79,92,345,61,134
1231,0,0.83,101,342,74,135
1232,0,0.82,105,341,78,137
1233,0,0.86,110,340,80,138
1234,0,0.86,113,340,80,138
1235,0,0.85,114,340,78,139
1236,0,0.88,116,338,83,136
1237,0,0.89,122,336,78,135
1238,0,0.88,129,334,71,133
1239,0,0.88,136,331,63,130
1240,0,0.86,142,326,58,133
1241,0,0.86,145,324,63,134
1242,0,0.88,147,322,68,135
1243,0,0.89,150,321,70,137
1244,0,0.89,156,319,72,139
1245,0,0.89,158,319,73,140
1246,0,0.89,160,318,73,141
1247,0,0.89,161,317,74,139
1248,0,0.89,161,316,74,139
1249,0,0.87,166,311,71,138
1250,0,0.89,169,309,68,124
1251,0,0.88,172,306,67,125
1252,0,0.88,173,304,65,125
1253,0,0.90,174,301,62,124
1254,0,0.87,176,297,58,123
1255,0,0.82,176,296,59,129
1256,0,0.79,178,295,52,130
1257,0,0.80,179,294,50,131
1258,0,0.84,179,293,53,128
1259,0,0.85,181,291,47,128
1260,0,0.86,182,290,46,128
1261,0,0.86,182,288,47,127
1262,0,0.88,182,286,48,125
1263,0,0.91,182,283,53,120
1264,0,0.92,181,280,62,114
1265,0,0.91,180,279,61,113
1266,0,0.91,178,276,61,114
1267,0,0.90,175,276,61,115
1268,0,0.87,168,275,64,114
1269,0,0.84,164,274,67,115
1270,0,0.85,162,272,68,115
1271,0,0.85,161,270,70,117
1272,0,0.86,161,269,70,117
1273,0,0.88,163,270,67,113
1274,0,0.90,163,271,63,104
1275,0,0.86,160,269,57,100
1276,0,0.87,158,267,55,101
1277,0,0.88,156,266,48,102
1278,0,0.88,155,265,46,102
1279,0,0.86,152,265,50,103
1280,0,0.87,144,265,56,103
1281,0,0.86,140,265,59,102
1282,0,0.90,135,265,64,101
1283,0,0.91,131,264,67,102
1284,0,0.92,124,264,69,102
1285,0,0.89,121,262,64,101
1286,0,0.90,118,262,62,101
1287,0,0.88,119,261,55,101
1288,0,0.81,115,262,41,96
1289,0,0.81,111,262,45,100
1290,0,0.86,108,263,47,102
1291,0,0.87,105,264,51,103
1292,0,0.89,98,265,57,101
1293,0,0.90,84,267,71,103
1294,0,0.90,78,267,75,103
1295,0,0.90,72,268,77,103
1296,0,0.85,67,268,76,103
1297,0,0.88,64,268,73,103
1298,0,0.80,60,268,57,103
1299,0,0.86,59,267,53,103
1300,0,0.88,58,268,50,102
1301,0,0.90,57,268,49,102
1302,0,0.86,49,271,57,104
1303,0,0.88,40,272,66,107
1304,0,0.85,36,274,70,108
1305,0,0.87,32,275,73,109
1306,0,0.87,33,277,72,113
1307,0,0.89,28,279,70,111
1308,0,0.88,24,279,69,111
1309,0,0.90,21,279,67,112
1310,0,0.90,18,280,63,111
1311,0,0.90,7,282,60,109
1312,0,0.88,0,284,61,110
1313,0,0.88,0,285,62,117
1314,0,0.87,0,287,63,113
1315,0,0.88,0,292,64,127
1316,0,0.87,0,294,64,126
1317,0,0.89,0,296,62,129
1318,0,0.89,0,298,59,127
1319,0,0.90,0,300,55,124
1320,0,0.87,0,302,44,123
1321,0,0.85,0,304,38,121
1322,0,0.85,0,308,34,116
1323,0,0.83,0,312,35,113
1324,0,0.74,0,325,34,111
1325,0,0.72,0,328,31,111
1326,0,0.53,0,331,30,95
1327,0,0.44,0,335,31,91
1328,0,0.31,0,338,31,88
1329,0,0.39,0,346,29,80
1330,0,0.33,0,350,28,76
1331,0,0.32,0,354,26,72
1332,0,0.25,0,357,24,72
