frame_index,capture_perf,elapsed_sec,write_perf
0,76192.871357105,0.000000000,76192.902067550
1,76192.906452964,0.035095859,76192.929373801
2,76192.950619620,0.079262515,76192.969284755
3,76192.990544095,0.119186990,76193.010687442
4,76193.031222382,0.159865277,76193.048269712
5,76193.071199047,0.199841942,76193.089923025
6,76193.111174588,0.239817483,76193.131458258
7,76193.155127882,0.283770777,76193.173873792
8,76193.194977609,0.323620504,76193.215071834
9,76193.239686786,0.368329681,76193.256743438
10,76193.279141629,0.407784524,76193.298469759
11,76193.319154012,0.447796907,76193.339984252
12,76193.363428193,0.492071088,76193.384652856
13,76193.403070525,0.531713420,76193.423174486
14,76193.447166096,0.575808991,76193.464705233
15,76193.487174309,0.615817204,76193.506585557
16,76193.531158014,0.659800909,76193.548471261
17,76193.571152375,0.699795270,76193.590037243
18,76193.611176779,0.739819674,76193.631625338
19,76193.655168234,0.783811129,76193.673359499
20,76193.695315775,0.823958670,76193.714968282
21,76193.740578362,0.869221257,76193.757130398
22,76193.779411688,0.908054583,76193.798520141
23,76193.823852090,0.952494985,76193.840680784
24,76193.863923871,0.992566766,76193.885774607
25,76193.903518899,1.032161794,76193.923640845
26,76193.947943212,1.076586107,76193.965636488
27,76193.987930809,1.116573704,76194.006728065
28,76194.030888001,1.159530896,76194.049984055
29,76194.075239048,1.203881943,76194.091597005
30,76194.116561038,1.245203933,76194.132814969
31,76194.156593378,1.285236273,76194.174348467
32,76194.201702489,1.330345384,76194.217938185
33,76194.245528917,1.374171812,76194.258155024
34,76194.285587280,1.414230175,76194.299683602
35,76194.285587280,1.414230175,76194.340737862
36,76194.370604222,1.499247117,76194.388175435
37,76194.370604222,1.499247117,76194.424522980
38,76194.414512270,1.543155165,76194.467464691
39,76194.459261383,1.587904278,76194.511999057
40,76194.499294423,1.627937318,76194.551608597
41,76194.539314072,1.667956967,76194.593622126
42,76194.583999095,1.712641990,76194.639304646
43,76194.628069611,1.756712506,76194.677736853
44,76194.668023201,1.796666096,76194.718237134
45,76194.706796006,1.835438901,76194.764238503
46,76194.752473666,1.881116561,76194.802312074
47,76194.792637671,1.921280566,76194.844230427
48,76194.837193596,1.965836491,76194.890814254
49,76194.882567769,2.011210664,76194.928892201
50,76194.922437987,2.051080882,76194.969783092
51,76194.970260321,2.098903216,76195.016194833
52,76195.005524979,2.134167874,76195.052897808
53,76195.045760042,2.174402937,76195.094306488
54,76195.089816703,2.218459598,76195.142529568
55,76195.129841397,2.258484292,76195.179922188
56,76195.174284017,2.302926912,76195.220635478
57,76195.218624119,2.347267014,76195.267418999
58,76195.258652689,2.387295584,76195.303781812
59,76195.298687932,2.427330827,76195.345079969
60,76195.342341031,2.470983926,76195.391107157
61,76195.382349760,2.510992655,76195.431104495
62,76195.427137258,2.555780153,76195.471450131
63,76195.467474561,2.596117456,76195.518516178
64,76195.511353128,2.639996023,76195.554533619
65,76195.551046299,2.679689194,76195.595653058
66,76195.594703213,2.723346108,76195.644259265
67,76195.634906626,2.763549521,76195.681181263
68,76195.679500056,2.808142951,76195.722372870
69,76195.719543051,2.848185946,76195.769542872
70,76195.759469737,2.888112632,76195.805245171
71,76195.803023507,2.931666402,76195.848652376
72,76195.843609531,2.972252426,76195.889513759
73,76195.886635038,3.015277933,76195.930826091
74,76195.927205390,3.055848285,76195.972614641
75,76195.966472858,3.095115753,76196.018881166
76,76196.011239538,3.139882433,76196.055639901
77,76196.051232338,3.179875233,76196.096272948
78,76196.090640158,3.219283053,76196.141755746
79,76196.134554775,3.263197670,76196.179856047
80,76196.174461620,3.303104515,76196.222040799
81,76196.218820889,3.347463784,76196.268825946
82,76196.258378198,3.387021093,76196.305154177
83,76196.298432059,3.427074954,76196.346265572
84,76196.342711647,3.471354542,76196.389477747
85,76196.382815221,3.511458116,76196.428914130
86,76196.426193690,3.554836585,76196.471570212
87,76196.467890527,3.596533422,76196.516891029
88,76196.506116190,3.634759085,76196.555416700
89,76196.550730487,3.679373382,76196.596340633
90,76196.590680746,3.719323641,76196.637592880
91,76196.634692344,3.763335239,76196.678965071
92,76196.672967160,3.801610055,76196.721927649
93,76196.708746898,3.837389793,76196.764565374
94,76196.752792086,3.881434981,76196.804700783
95,76196.797071418,3.925714313,76196.846720448
96,76196.837397908,3.966040803,76196.889312411
97,76196.882455506,4.011098401,76196.930399225
98,76196.922633106,4.051276001,76196.971454136
99,76196.966672439,4.095315334,76197.012891870
100,76197.006674096,4.135316991,76197.049285558
101,76197.049878742,4.178521637,76197.097099388
102,76197.089973559,4.218616454,76197.137952832
103,76197.134696921,4.263339816,76197.179099062
104,76197.174708528,4.303351423,76197.219971420
105,76197.218246034,4.346888929,76197.261487362
106,76197.258280547,4.386923442,76197.303754252
107,76197.298414309,4.427057204,76197.346353971
108,76197.342373563,4.471016458,76197.390397402
109,76197.382290926,4.510933821,76197.430152257
110,76197.426757145,4.555400040,76197.470891613
111,76197.466713832,4.595356727,76197.512236790
112,76197.506700363,4.635343258,76197.553524561
113,76197.550120830,4.678763725,76197.596156071
114,76197.590156772,4.718799667,76197.638293401
115,76197.634703845,4.763346740,76197.679699120
116,76197.674714399,4.803357294,76197.720817394
117,76197.718701874,4.847344769,76197.762047346
118,76197.758740500,4.887383395,76197.804056006
119,76197.798745732,4.927388627,76197.845136934
120,76197.842106310,4.970749205,76197.890441499
121,76197.881822842,5.010465737,76197.931123792
122,76197.926658171,5.055301066,76197.971481715
123,76197.966664292,5.095307187,76198.012427412
124,76198.006647619,5.135290514,76198.053459887
125,76198.050656111,5.179299006,76198.095669888
126,76198.090593122,5.219236017,76198.137333215
127,76198.133921295,5.262564190,76198.180219860
128,76198.173935913,5.302578808,76198.221365013
129,76198.218634188,5.347277083,76198.262302844
130,76198.258635677,5.387278572,76198.303514613
131,76198.298666009,5.427308904,76198.344754982
132,76198.342160760,5.470803655,76198.389779409
133,76198.382768925,5.511411820,76198.430674421
